model,horizon_hours,SEASON,origins,storms,track_mean_km,track_median_km,track_p90_km,track_p95_km,wind_mae_kt,wind_rmse_kt,wind_bias_kt,storm_macro_track_mean_km,storm_macro_wind_mae_kt,storm_track_ci95_low_km,storm_track_ci95_high_km,storm_wind_mae_ci95_low_kt,storm_wind_mae_ci95_high_kt
gru,12,2023,351,17,60.43543434520219,52.788303645722145,112.65133246219062,141.03135544070977,5.089238348902851,6.879196068024927,0.3224061223326116,67.47018690173343,4.824601968587754,56.825252601404735,79.99371290332176,4.1799174290036865,5.482006653075848
gru,12,2024,252,15,62.59211365021503,54.433901968740045,118.1957277691705,137.46032808135476,8.3949235029543,12.35730105661906,-0.1587882063472185,69.51390619168207,8.987366974799576,60.59859262648571,78.80282828960623,6.339416333437492,12.015177179316762
gru,12,2025,175,11,62.095783227340696,52.474203668525206,114.46301938092614,133.73068007474777,7.273760318924997,10.634889041289872,-1.128988794057558,63.77619855096128,8.132934496599525,51.12093581639519,79.4565558875156,5.851009258922347,11.383202425146507
gru,24,2020,379,25,166.31423000181474,137.217816341707,322.1420663327242,420.08741611043416,11.66895167213706,16.984199491243253,-0.5289323210619825,167.93676648549297,11.361751871200266,140.88436042193874,201.39252903448548,8.829636867148484,14.100771847026015
gru,24,2021,247,14,152.98471393754647,124.10893770226409,284.91013939581956,407.0633616283668,10.274233068694526,14.0431628940311,-0.9195947813388542,156.28712978157475,9.77151329161901,131.14980654030308,185.20145281136232,7.931441415579425,11.64586708906278
gru,24,2022,147,10,152.2721667291514,135.33297925229084,296.44737437959583,333.639317882728,12.759418566683465,16.656472418502034,-3.0808576148109545,157.16386952798626,11.943764659598433,117.3624153164046,200.92239114877225,8.49711501250217,15.458701748621063
gru,24,2023,316,15,149.44785316609847,134.65014119328646,261.76546718180543,308.81142137339646,8.561735333769112,11.392948131011856,0.3708923006112115,152.18460748734924,8.577136005110908,133.28210693735602,171.7256189472224,7.399055326484362,9.996634252715896
gru,24,2024,222,15,140.37848436432043,129.2848560366799,254.1668253916558,306.84032096125804,14.02313815749574,19.871155012540452,-1.9048940177120215,156.07241367540172,15.03095430842371,128.75329991675127,191.0254209888461,10.990327248546851,20.060949713236813
gru,24,2025,154,10,144.62941766627785,127.1790102009036,267.56970360035825,306.79018181895725,13.73767675758979,19.051888093468108,-4.680487699903444,164.04464008235203,12.615078786816632,117.8061156923922,219.79103840105276,9.763611494792409,15.915098810857767
gru,48,2020,283,22,392.90683737711225,334.81669703200623,725.1712290140138,852.4324285121605,15.97984191968624,21.724733452720685,2.321645521189482,368.70578510200863,17.222870026826843,308.0388456197489,432.9200835691944,13.84688925812608,21.73265470159661
